DATE,ID,CITY_NAME,DAY_TYPE,REAL_SUM,ROOM_TYPE,ROOM_SHARED,ROOM_PRIVATE,PERSON_CAPACITY,CLEANLINESS_RATING,GUEST_SATISFACTION_OVERALL,BEDROOMS,DISTANCE,METRO_DISTANCE,ATTR_INDEX,REST_INDEX
2023-05-01,0,Amsterdam,Weekday,194.0336981,Private room,FALSE,TRUE,2,10,93,1,5.022963798,2.539380003,78.69037927,98.25389587
2023-05-02,1,Amsterdam,Weekday,1001.80442,Entire home/apt,FALSE,FALSE,4,9,96,2,3.719141399,1.196112353,106.2264562,133.8762019
2023-05-03,2,Amsterdam,Weekday,276.5214538,Private room,FALSE,TRUE,2,10,88,1,3.142361426,0.924404439,206.2528615,238.2912578
2023-05-04,3,Amsterdam,Weekday,909.4743749,Entire home/apt,FALSE,FALSE,2,10,96,1,1.009922025,0.917115068,409.8581245,555.1142756
2023-05-05,4,,Weekday,319.6400534,Private room,FALSE,TRUE,2,10,97,1,2.182707104,1.590381363,191.5013392,229.2974006
2023-05-06,5,Amsterdam,Weekday,675.6028402,Entire home/apt,FALSE,FALSE,4,8,87,1,2.933045843,0.628073047,214.9233419,269.624904
2023-05-07,6,Amsterdam,Weekday,447.5898109,Entire home/apt,FALSE,FALSE,2,9,93,1,1.057619331,1.065339126,422.8529062,476.6969918
2023-05-08,7,,Weekday,243.2451433,Private room,FALSE,TRUE,2,10,96,1,2.870632844,1.278894075,169.6957545,210.2676921
2023-05-09,8,Amsterdam,Weekday,933.8457573,Entire home/apt,FALSE,FALSE,4,10,96,2,1.014066427,0.377103687,477.7940702,664.0532506
2023-05-10,9,Amsterdam,Weekday,295.0343308,Entire home/apt,FALSE,FALSE,2,9,92,1,4.665411412,2.97748024,84.34533935,105.9234554
2023-05-11,10,Amsterdam,Weekday,3004.944579,Entire home/apt,FALSE,FALSE,4,9,95,4,1.615294729,1.402539344,216.6690364,283.6177116
2023-05-12,11,Amsterdam,Week_day,539.216835,Entire home/apt,FALSE,FALSE,2,10,98,1,3.781331059,0.920213711,138.1534418,173.6379078
2023-05-13,12,Amsterdam,Weekday,460.9472031,Private room,FALSE,TRUE,2,10,98,1,0.585182932,0.401275177,533.6906723,946.2699431
2023-05-14,13,Amsterdam,Weekday,384.7866332,Entire home/apt,FALSE,FALSE,2,10,100,1,4.029369644,0.976828521,133.954781,171.2179127
2023-05-15,14,Amsterdam,Weekday,728.798069,Entire home/apt,FALSE,FALSE,4,10,100,2,3.153556229,0.601904035,166.0571574,211.9296607
2023-05-16,15,Amsterdam,Week_day,387.1300354,Entire home/apt,FALSE,FALSE,2,8,80,0,1.904152334,1.585302499,296.8731659,354.7067469
2023-05-17,16,,Weekday,221.2171631,Private room,FALSE,TRUE,2,10,99,1,3.200518257,0.92117443,131.5328986,167.6514852
2023-05-18,17,Amsterdam,Weekday,351.5103227,Private room,FALSE,TRUE,2,10,98,1,0.721166612,,441.2820382,573.3243309
2023-05-19,18,Amsterdam,Weekday,378.6937876,Entire home/apt,FALSE,FALSE,2,9,83,1,3.326725232,1.330569556,181.2981484,216.2285847
2023-05-20,19,Amsterdam,Week_day,295.0343308,Private room,FALSE,TRUE,2,8,86,1,4.880430261,0.884337244,107.3347369,132.6991373
2023-05-21,20,Amsterdam,Weekend,491.8801115,Private room,FALSE,TRUE,2,9,98,1,0.375148118,0.190385267,1888.737455,747.799897
2023-05-22,21,Amsterdam,Weekend,255.6651747,Private room,FALSE,TRUE,2,10,100,1,3.528681302,0.206182898,159.4989109,200.9645859
2023-05-23,22,Athens,Weekday,129.8244792,Entire home/apt,FALSE,FALSE,4,10,100,2,2.813963501,0.881890002,55.34857178,78.77837697
2023-05-24,23,Athens,Weekday,138.9637476,Entire home/apt,FALSE,FALSE,4,10,96,1,0.40729292,0.304567868,240.3066539,407.1676962
2023-05-25,24,Athens,Weekday,156.3049235,Entire home/apt,FALSE,FALSE,3,10,98,1,1.237211131,0.288488057,199.5073658,395.9674026
2023-05-26,25,Athens,Weekday,91.62702411,Entire home/apt,FALSE,FALSE,4,10,99,1,4.367457161,0.297467301,39.80304745,58.70657846
2023-05-27,26,Athens,Weekday,74.05150798,Private room,FALSE,TRUE,2,10,100,1,,0.385265748,78.73340491,113.3259728
2023-05-28,27,Athens,Weekday,113.8893446,Entire home/apt,FALSE,FALSE,6,10,96,2,2.071205607,0.453867443,96.58899134,158.6443183
2023-05-29,28,Athens,Weekday,106.3904577,Entire home/apt,FALSE,FALSE,5,10,96,1,1.395424051,0.438597132,160.6917055,289.1041227
2023-05-30,29,Athens,Weekday,151.8524594,Entire home/apt,FALSE,FALSE,4,10,100,2,2.508966062,0.563466801,68.77522075,101.1627689
2023-05-31,30,Athens,Weekday,162.3977691,Entire home/apt,FALSE,FALSE,4,10,100,2,2.668798929,0.954365126,62.41337967,91.808599
2023-06-01,31,Athens,Weekday,98.65723057,Entire home/apt,FALSE,FALSE,2,10,95,1,2.740576481,0.725024339,62.90304909,92.61136387
2023-06-02,32,Athens,Weekday,145.0565932,Private room,FALSE,TRUE,6,10,98,1,1.911332318,0.490466225,139.5671013,178.0340202
2023-06-03,33,Athens,Weekday,333.7004663,Entire home/apt,FALSE,FALSE,6,10,99,2,0.257414046,0.226856754,272.7599706,477.6413931
2023-06-04,34,Athens,Weekday,138.9637476,Entire home/apt,FALSE,FALSE,2,10,97,1,1.415997816,1.245457714,109.0947064,148.5847113
2023-06-05,35,Athens,Weekday,101.9379936,Entire home/apt,FALSE,FALSE,4,9,95,2,1.278671121,0.371223349,210.5136997,241.9214723
2023-06-06,36,Athens,Weekday,78.73831228,Entire home/apt,FALSE,FALSE,3,10,95,2,1.749961227,0.824020508,87.26695391,119.2663828
2023-06-07,37,Athens,Weekday,194.0336981,Entire home/apt,FALSE,FALSE,6,10,98,2,1.213098289,0.988655877,108.0872266,157.8567347
2023-06-08,38,Athens,Weekday,168.9592951,Entire home/apt,FALSE,FALSE,4,10,97,1,2.923551935,0.480476552,55.4698119,80.6707739
2023-06-09,39,Athens,Weekday,187.9408525,Entire home/apt,FALSE,FALSE,4,10,96,1,,0.480464725,55.46908813,80.67081291
2023-06-10,40,Athens,Weekday,169.1936353,Entire home/apt,FALSE,FALSE,2,10,88,1,1.240685079,0.413269243,335.5707179,313.3187239
2023-06-11,41,Barcelona,Weekday,474.3174995,Entire home/apt,FALSE,FALSE,4,10,91,1,1.111996478,0.630490946,526.4694202,915.5870828
2023-06-12,42,Barcelona,Weekday,169.8978286,Private room,FALSE,TRUE,2,10,88,1,1.751839016,0.124017172,320.1275255,794.2773503
2023-06-13,43,Barcelona,Weekday,161.984779,Private room,FALSE,TRUE,4,9,88,1,1.670492897,0.080321976,344.073936,840.6736173
2023-06-14,44,Barcelona,Weekday,367.9568041,Entire home/apt,FALSE,FALSE,3,10,91,1,1.475846518,0.093106865,400.0574495,946.5898839
2023-06-15,45,Barcelona,Weekday,196.8952917,Private room,FALSE,TRUE,3,9,91,1,1.855452388,0.272486049,346.0422449,792.296039
2023-06-16,46,Barcelona,Weekday,330.9516606,Entire home/apt,FALSE,FALSE,3,9,100,2,2.565611445,0.701290447,391.0874019,525.5139017
2023-06-17,47,Barcelona,Weekday,141.2712081,Private room,FALSE,TRUE,3,9,86,1,1.648304406,0.089426725,342.5968431,820.9265677
2023-06-18,48,Barcelona,Weekday,173.3888798,Private room,FALSE,TRUE,2,9,96,1,1.474227862,0.590519404,448.4056158,752.7588764
2023-06-19,49,Barcelona,Weekday,225.7546489,Private room,FALSE,TRUE,4,9,84,1,0.962654885,0.356133899,791.8737457,1885.534627
2023-06-20,50,Barcelona,Weekday,150.5806782,Private room,FALSE,TRUE,2,9,91,1,1.819599926,0.285601282,361.1992096,806.2366872
2023-06-21,51,Barcelona,Weekday,194.3351875,Private room,FALSE,TRUE,2,9,84,1,1.011673848,0.371659718,530.5220848,1189.497813
2023-06-22,52,Barcelona,Weekday,190.8441362,Private room,FALSE,TRUE,2,10,98,1,2.214067239,0.376016848,589.7332965,647.2490052
2023-06-23,53,Barcelona,Weekday,387.5066912,Private room,FALSE,TRUE,2,9,91,1,1.549371862,0.576061136,394.1508318,780.6114289
2023-06-24,54,Barcelona,Weekday,248.5628506,Private room,FALSE,TRUE,2,10,95,1,0.740905293,0.270107576,566.6504595,1145.743939
2023-06-25,55,Barcelona,Weekday,136.3837364,Private room,FALSE,TRUE,3,9,84,1,1.688151565,0.102537309,342.3747476,826.0136878
2023-06-26,56,Barcelona,Weekday,117.997533,Private room,FALSE,TRUE,2,8,84,1,2.577467009,0.050492205,289.9204727,590.0639135
2023-06-27,57,Barcelona,Weekday,150.5806782,Private room,FALSE,TRUE,2,8,87,1,0.250320516,0.252817643,574.4172772,1438.20131
2023-06-28,58,Barcelona,Weekday,1041.496963,Entire home/apt,FALSE,FALSE,6,10,99,3,1.88874022,0.137772591,1335.13085,781.2675685
2023-06-29,59,Barcelona,Weekday,474.3174995,Entire home/apt,FALSE,FALSE,4,10,91,1,1.195593534,0.579910584,512.8499885,862.6687049
2023-06-30,60,Berlin,Weekday,185.7997569,Private room,FALSE,TRUE,2,10,98,1,3.582210844,0.174705596,105.0637083,148.9411144
2023-07-01,61,Berlin,Weekday,194.914462,Private room,FALSE,TRUE,5,9,86,1,3.5254103,0.51192178,75.33952911,106.4423556
2023-07-02,62,Berlin,Weekday,176.2176311,Private room,FALSE,TRUE,2,9,91,1,3.801712818,0.28139653,73.66917598,105.4402046
2023-07-03,63,Berlin,Weekday,207.7685332,Private room,FALSE,TRUE,3,10,97,1,0.982408172,0.705573084,133.1874089,198.233362
2023-07-04,64,Berlin,Weekday,150.743199,Private room,FALSE,TRUE,2,10,99,1,8.869697201,2.187188257,39.86015115,50.99630815
2023-07-05,65,Berlin,Weekday,139.2913901,Private room,FALSE,TRUE,2,8,87,1,3.544664562,0.366552498,103.4810823,148.4580494
2023-07-06,66,Berlin,Weekday,417.4067496,Entire home/apt,FALSE,FALSE,6,10,97,2,3.838823654,0.298430121,210.9533841,198.1328913
2023-07-07,67,Berlin,Weekday,135.5520239,Private room,FALSE,TRUE,2,10,96,1,3.731452541,0.936674874,95.33370885,126.4763363
2023-07-08,68,Berlin,Weekday,260.8207909,Private room,FALSE,TRUE,2,10,100,1,9.113951206,0.383345676,62.73518713,101.6440961
2023-07-09,69,Berlin,Weekday,191.1750958,Entire home/apt,FALSE,FALSE,3,10,98,1,13.62054945,5.514004441,26.96359864,35.68835644
2023-07-10,70,Berlin,Weekday,235.5800692,Entire home/apt,FALSE,FALSE,2,10,94,1,2.576319513,0.4603703,202.9009624,154.140948
2023-07-11,71,Berlin,Weekday,95.12012714,Private room,FALSE,TRUE,2,9,90,1,3.55628967,0.187019332,77.18810592,114.0457575
2023-07-12,72,Berlin,Weekday,229.7373095,Private room,FALSE,TRUE,3,10,98,1,9.974867073,0.500290775,52.859092,75.50431908
2023-07-13,73,Berlin,Weekday,208.7033748,Entire home/apt,FALSE,FALSE,2,10,100,1,5.787913939,0.35022245,54.89020941,69.1161896
2023-07-14,74,Berlin,Weekday,266.6635505,Entire home/apt,FALSE,FALSE,6,8,87,2,1.197765934,0.594759914,130.5796609,215.5454349
2023-07-15,75,Berlin,Weekday,375.5725904,Entire home/apt,FALSE,FALSE,2,10,100,1,6.998010723,0.197946896,93.64773798,193.0121129
2023-07-16,76,Berlin,Weekday,285.3603814,Entire home/apt,FALSE,FALSE,5,8,88,2,1.188087947,0.519463673,133.2796404,227.0205726
2023-07-17,77,Berlin,Weekday,577.498364,Entire home/apt,FALSE,FALSE,3,10,80,2,10.60908923,1.005158341,49.39810052,71.97827428
2023-07-18,78,Berlin,Weekday,148.4060952,Shared room,TRUE,FALSE,6,9,92,1,0.932752307,0.352412314,149.6516644,194.4145638
2023-07-19,79,Budapest,Weekday,238.9904592,Entire home/apt,FALSE,FALSE,6,10,99,1,0.359355002,0.35264296,404.4046774,893.4773435
2023-07-20,80,Budapest,Weekday,300.7942849,Entire home/apt,FALSE,FALSE,6,9,98,2,0.929427205,0.20023546,1676.87603,452.5397172
2023-07-21,81,Budapest,Weekday,162.3819147,Entire home/apt,FALSE,FALSE,4,10,98,1,2.450840346,0.279451792,163.5884929,191.99227
2023-07-22,82,Budapest,Weekday,118.4377497,Entire home/apt,FALSE,FALSE,2,9,92,1,1.559449392,0.477971102,191.719844,326.2155876
2023-07-23,83,Budapest,Weekday,134.4174461,Entire home/apt,FALSE,FALSE,4,10,99,2,1.11380298,0.27010165,198.6034604,635.5158836
2023-07-24,84,Budapest,Weekday,127.36758,Entire home/apt,FALSE,FALSE,4,9,91,2,0.26847031,0.166931703,635.6350064,1005.653479
2023-07-25,85,Budapest,Weekday,191.05137,Entire home/apt,FALSE,FALSE,4,6,80,2,10.29600059,7.922375402,31.2195914,46.53893219
2023-07-26,86,Budapest,Weekday,123.1376604,Entire home/apt,FALSE,FALSE,4,9,92,1,0.752613605,0.480336523,227.0102355,674.8518114
2023-07-27,87,Budapest,Weekday,133.2424684,Entire home/apt,FALSE,FALSE,6,10,88,2,1.091461882,0.199120972,195.4724493,632.7273939
2023-07-28,88,Budapest,Weekday,128.0725666,Entire home/apt,FALSE,FALSE,4,10,96,1,0.511704648,0.11734405,357.7453346,664.6005232
2023-07-29,89,Budapest,Weekday,142.4072943,Entire home/apt,FALSE,FALSE,3,10,100,0,2.093792137,0.657428185,202.1241375,240.0865408
2023-07-30,90,Budapest,Weekday,124.7826291,Entire home/apt,FALSE,FALSE,4,10,97,1,0.415490335,0.233798519,280.0525726,789.0525241
2023-07-31,91,Budapest,Weekday,144.2872585,Entire home/apt,FALSE,FALSE,5,10,97,2,1.168010129,0.290566458,218.280712,523.2801181
2023-08-01,92,Budapest,Weekday,191.5213611,Entire home/apt,FALSE,FALSE,6,10,95,2,0.364747653,0.34575246,407.6308264,915.3894796
2023-08-02,93,Budapest,Weekday,123.1376604,Entire home/apt,FALSE,FALSE,4,9,92,0,0.762434745,0.285698387,289.3917876,628.8602672
2023-08-03,94,Budapest,Weekday,237.580486,Entire home/apt,FALSE,FALSE,2,10,97,1,0.529668798,0.310119057,266.5130047,841.4566125
2023-08-04,95,Budapest,Weekday,137.9423791,Entire home/apt,FALSE,FALSE,4,9,94,1,0.423078293,0.211332806,263.5036321,701.9594594
2023-08-05,96,Budapest,Weekday,140.2923344,Entire home/apt,FALSE,FALSE,6,9,86,2,1.209134619,0.267504181,232.2191892,448.1058602
2023-08-06,97,Budapest,Weekday,132.5374818,Private room,FALSE,TRUE,2,9,93,1,7.224166955,0.324415651,43.84297665,68.73751956
2023-08-07,98,Budapest,Weekday,238.050477,Entire home/apt,FALSE,FALSE,4,9,84,0,0.835663198,0.17554761,535.7925958,534.2891974
2023-08-08,99,Lisbon,Weekday,138.1332083,Private room,FALSE,TRUE,2,10,98,1,4.328028749,0.298483572,74.23016984,176.8682923
2023-08-09,100,Lisbon,Weekday,124.0619137,Private room,FALSE,TRUE,2,10,97,1,4.465503749,0.293602524,72.57084453,173.9093516
2023-08-10,101,Lisbon,Weekday,194.1838649,Private room,FALSE,TRUE,4,-99999,87,2,4.475232333,0.167859532,72.51789479,177.9961369
2023-08-11,102,Lisbon,Weekday,191.6041276,Entire home/apt,FALSE,FALSE,4,9,89,1,0.850977797,0.589444652,409.6955072,806.4632049
2023-08-12,103,Lisbon,Weekday,327.8611632,Entire home/apt,FALSE,FALSE,6,9,93,2,0.667029164,0.530351446,537.0154713,775.7183796
2023-08-13,104,Lisbon,Weekday,179.8780488,Private room,FALSE,TRUE,2,6,40,1,4.886625264,0.455047016,67.98245156,159.8693129
2023-08-14,105,Lisbon,Weekday,145.1688555,Private room,FALSE,TRUE,2,9,88,1,4.892941011,0.474590517,67.93323706,160.3808779
2023-08-15,106,Lisbon,Weekday,145.1688555,Private room,FALSE,TRUE,2,9,80,1,4.861506807,0.536908698,68.33018105,162.1623829
2023-08-16,107,Lisbon,Weekday,175.4221388,Private room,FALSE,TRUE,3,10,95,1,4.88859577,0.466009595,67.97142951,160.215577
2023-08-17,108,Lisbon,Weekday,275.3283302,Entire home/apt,FALSE,FALSE,4,10,95,1,0.8980209,0.54371736,335.065859,679.5973846
2023-08-18,109,Lisbon,Weekday,94.04315197,Private room,FALSE,TRUE,2,10,94,1,7.329467689,0.206112376,57.72429914,97.47406666
2023-08-19,110,Lisbon,Weekday,310.0375235,Entire home/apt,FALSE,FALSE,3,10,91,2,0.742909272,0.384178843,373.3666333,892.7442933
2023-08-20,111,Lisbon,Weekday,269.6998124,Entire home/apt,FALSE,FALSE,4,9,95,2,0.89449484,0.505413986,413.750947,755.7228771
2023-08-21,112,Lisbon,Weekday,159.0056285,Entire home/apt,FALSE,FALSE,4,10,94,1,6.934858846,0.501682023,67.43395011,104.6931081
2023-08-22,113,Lisbon,Weekday,213.1801126,Entire home/apt,FALSE,FALSE,4,10,96,1,1.043291351,0.352053423,376.2407568,702.7102551
2023-08-23,114,Lisbon,Weekday,172.8424015,Entire home/apt,FALSE,FALSE,4,10,96,1,5.653880256,4.552295883,129.8691582,140.2243932
2023-08-24,115,Lisbon,Weekday,270.6378987,Entire home/apt,FALSE,FALSE,4,9,95,1,0.810770348,0.58697307,549.4163944,867.2925647
2023-08-25,116,Lisbon,Weekday,139.3058161,Private room,FALSE,TRUE,2,10,100,1,3.863655187,0.483801049,80.02226962,190.9831928
2023-08-26,117,Lisbon,Weekday,298.5459662,Entire home/apt,FALSE,FALSE,4,10,100,1,0.705319839,0.483294317,408.8468203,1212.67058
2023-08-27,118,Lisbon,Weekday,248.1238274,Entire home/apt,FALSE,FALSE,6,10,95,3,0.75352684,0.587158949,428.88679,760.3704649
2023-08-28,119,London,Weekday,570.0980738,Entire home/apt,FALSE,FALSE,2,10,98,1,5.301017819,1.588990359,209.6325776,467.5975223
